"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-09-25","9.84","0.00",,"0.0","0.0",,"75","56",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-09-26","7.83","0.24",,"0.0","0.0",,"69","54",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-09-27","8.28","0.77",,"0.0","0.0",,"75","59",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-09-28","10.29","0.27",,"0.0","0.0",,"79","57",,,,,,"    1",,,,,"    1",,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-09-29","16.11","0.00",,"0.0","0.0",,"70","53",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-09-30","9.62","0.00",,"0.0","0.0",,"64","53",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-01","8.05","0.00",,"0.0","0.0",,"59","48",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-02","6.93","0.03",,"0.0","0.0",,"68","47",,"    1",,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-03","2.01","0.01",,"0.0","0.0",,"76","60",,"    1",,,,,,,,,,"    1",,,"    1",,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-10-04","7.16","0.00",,"0.0","0.0",,"74","55",,"    1",,,,,,,,,,,,,,,,,
